iter	Passed	Remaining
0	165	164851
1	166	83112
2	168	55839
3	169	42322
4	171	34145
5	175	29136
6	178	25359
7	180	22355
8	181	20004
9	183	18127
10	184	16599
11	186	15326
12	187	14238
13	191	13453
14	192	12662
15	194	11988
16	197	11430
17	199	10893
18	201	10415
19	206	10099
20	208	9715
21	210	9366
22	212	9028
23	214	8718
24	216	8440
25	222	8316
26	223	8068
27	225	7837
28	227	7620
29	229	7421
30	231	7228
31	232	7047
32	236	6919
33	238	6776
34	241	6660
35	243	6529
36	246	6407
37	250	6342
38	252	6223
39	255	6122
40	257	6025
41	271	6202
42	276	6148
43	284	6171
44	286	6071
45	288	5986
46	290	5899
47	304	6029
48	306	5944
49	308	5861
50	315	5861
51	317	5780
52	318	5699
53	320	5623
54	323	5564
55	334	5643
56	337	5575
57	339	5507
58	404	6456
59	415	6512
60	418	6441
61	421	6376
62	423	6293
63	429	6287
64	442	6362
65	446	6320
66	449	6254
67	451	6181
68	458	6191
69	462	6145
70	464	6079
71	466	6011
72	468	5944
73	479	5999
74	481	5938
75	483	5877
76	487	5837
77	495	5862
78	498	5806
79	499	5748
80	510	5793
81	512	5737
82	513	5672
83	515	5616
84	518	5584
85	525	5585
86	527	5533
87	528	5479
88	530	5428
89	532	5380
90	534	5341
91	536	5295
92	538	5247
93	539	5201
94	541	5157
95	543	5115
96	546	5089
97	549	5057
98	551	5018
99	553	4978
100	554	4939
101	556	4900
102	565	4926
103	569	4904
104	571	4869
105	573	4833
106	574	4797
107	582	4813
108	584	4781
109	586	4748
110	588	4713
111	591	4686
112	598	4698
113	601	4677
114	604	4651
115	606	4619
116	613	4632
117	615	4602
118	617	4571
119	619	4543
120	621	4512
121	622	4478
122	627	4470
123	630	4452
124	632	4424
125	633	4397
126	635	4365
127	636	4337
128	637	4307
129	644	4314
130	646	4288
131	648	4262
132	649	4236
133	651	4209
134	652	4183
135	656	4168
136	660	4160
137	662	4135
138	663	4109
139	665	4086
140	666	4061
141	667	4035
142	669	4011
143	674	4011
144	676	3990
145	678	3969
146	680	3947
147	681	3924
148	683	3902
149	684	3880
150	687	3866
151	689	3846
152	691	3827
153	694	3813
154	695	3792
155	697	3772
156	698	3752
157	700	3731
158	703	3722
159	705	3703
160	706	3680
161	707	3660
162	708	3640
163	710	3621
164	711	3603
165	713	3584
166	714	3565
167	719	3561
168	721	3549
169	723	3532
170	725	3517
171	727	3500
172	728	3482
173	730	3466
174	735	3466
175	738	3457
176	752	3499
177	754	3484
178	756	3470
179	759	3458
180	761	3443
181	767	3448
182	774	3457
183	778	3451
184	783	3450
185	786	3443
186	790	3434
187	792	3423
188	797	3423
189	803	3426
190	805	3412
191	807	3397
192	810	3390
193	814	3382
194	820	3388
195	822	3375
196	829	3379
197	838	3395
198	840	3382
199	846	3384
200	847	3370
201	849	3356
202	863	3389
203	866	3381
204	878	3407
205	880	3393
206	882	3379
207	884	3369
208	890	3368
209	892	3356
210	893	3342
211	895	3328
212	899	3322
213	904	3323
214	906	3310
215	908	3297
216	915	3304
217	919	3299
218	922	3289
219	924	3278
220	926	3267
221	941	3297
222	942	3284
223	948	3285
224	951	3278
225	957	3277
226	958	3264
227	959	3250
228	961	3236
229	973	3259
230	975	3248
231	977	3234
232	978	3221
233	980	3208
234	990	3224
235	992	3212
236	994	3201
237	999	3199
238	1005	3200
239	1007	3189
240	1008	3177
241	1010	3165
242	1014	3158
243	1022	3166
244	1027	3165
245	1039	3187
246	1044	3183
247	1046	3172
248	1052	3175
249	1059	3177
250	1061	3167
251	1065	3163
252	1067	3152
253	1071	3146
254	1073	3135
255	1077	3131
256	1114	3222
257	1120	3222
258	1122	3210
259	1123	3199
260	1133	3208
261	1135	3197
262	1137	3186
263	1138	3175
264	1151	3192
265	1153	3182
266	1155	3173
267	1160	3170
268	1282	3483
269	1288	3482
270	1297	3491
271	1308	3501
272	1324	3527
273	1337	3542
274	1352	3565
275	1398	3667
276	1435	3747
277	1440	3740
278	1445	3734
279	1453	3737
280	1456	3727
281	1471	3745
282	1473	3733
283	1480	3732
284	1484	3724
285	1486	3711
286	1488	3698
287	1516	3749
288	1518	3737
289	1521	3724
290	1523	3710
291	1526	3702
292	1530	3692
293	1537	3692
294	1539	3678
295	1543	3670
296	1545	3658
297	1547	3645
298	1549	3632
299	1551	3619
300	1553	3607
301	1561	3608
302	1563	3596
303	1565	3583
304	1567	3571
305	1569	3558
306	1583	3575
307	1586	3564
308	1595	3568
309	1597	3556
310	1600	3544
311	1602	3533
312	1609	3532
313	1614	3526
314	1623	3530
315	1626	3520
316	1631	3514
317	1635	3506
318	1695	3618
319	1701	3615
320	1704	3605
321	1706	3594
322	1709	3582
323	1716	3581
324	1719	3571
325	1722	3562
326	1725	3550
327	1732	3549
328	1735	3539
329	1737	3528
330	1743	3523
331	1747	3516
332	1749	3504
333	1757	3505
334	1762	3499
335	1764	3487
336	1766	3475
337	1768	3464
338	1776	3463
339	1778	3452
340	1780	3441
341	1782	3429
342	1790	3429
343	1794	3421
344	1796	3410
345	1799	3402
346	1801	3390
347	1811	3393
348	1813	3382
349	1815	3371
350	1817	3360
351	1823	3356
352	1825	3346
353	1828	3337
354	1843	3348
355	1845	3337
356	1846	3326
357	1849	3316
358	1857	3316
359	1859	3306
360	1862	3295
361	1863	3285
362	1865	3274
363	1871	3270
364	1873	3260
365	1876	3249
366	1879	3241
367	1880	3230
368	1886	3225
369	1888	3215
370	1890	3204
371	1892	3194
372	1893	3183
373	1895	3173
374	1899	3165
375	1902	3156
376	1903	3146
377	1907	3138
378	1909	3128
379	1910	3117
380	1916	3113
381	1920	3107
382	1923	3097
383	1925	3088
384	1927	3078
385	1930	3071
386	1932	3061
387	1935	3053
388	1937	3043
389	1939	3033
390	1942	3026
391	1947	3021
392	1950	3012
393	1952	3003
394	1954	2994
395	1958	2987
396	1962	2981
397	1967	2975
398	1969	2966
399	1972	2958
400	1975	2950
401	1978	2943
402	1980	2934
403	1982	2924
404	1986	2917
405	1988	2908
406	1994	2905
407	1996	2896
408	1998	2887
409	2000	2878
410	2001	2868
411	2005	2862
412	2009	2856
413	2011	2846
414	2013	2837
415	2014	2828
416	2016	2819
417	2018	2810
418	2020	2801
419	2022	2792
420	2025	2785
421	2027	2777
422	2029	2768
423	2031	2759
424	2033	2751
425	2037	2745
426	2042	2740
427	2043	2731
428	2045	2722
429	2046	2713
430	2048	2704
431	2050	2695
432	2052	2687
433	2056	2681
434	2058	2674
435	2060	2665
436	2062	2657
437	2064	2648
438	2066	2640
439	2068	2632
440	2071	2625
441	2072	2616
442	2074	2608
443	2076	2600
444	2078	2592
445	2080	2584
446	2082	2576
447	2084	2568
448	2088	2562
449	2090	2555
450	2092	2547
451	2095	2540
452	2097	2532
453	2099	2524
454	2109	2526
455	2110	2518
456	2112	2510
457	2114	2502
458	2116	2494
459	2118	2487
460	2120	2479
461	2122	2471
462	2124	2463
463	2125	2455
464	2127	2447
465	2129	2439
466	2133	2434
467	2134	2426
468	2137	2420
469	2139	2412
470	2141	2405
471	2143	2397
472	2145	2390
473	2148	2384
474	2151	2377
475	2153	2371
476	2157	2365
477	2158	2357
478	2160	2349
479	2163	2343
480	2165	2336
481	2167	2329
482	2169	2321
483	2171	2314
484	2173	2308
485	2175	2301
486	2179	2295
487	2180	2287
488	2182	2280
489	2183	2272
490	2185	2265
491	2186	2257
492	2187	2250
493	2189	2242
494	2190	2234
495	2194	2229
496	2195	2222
497	2196	2214
498	2198	2207
499	2199	2199
500	2201	2192
501	2202	2185
502	2204	2177
503	2205	2170
504	2206	2163
505	2211	2159
506	2213	2152
507	2215	2146
508	2218	2139
509	2220	2133
510	2222	2126
511	2225	2121
512	2227	2114
513	2229	2108
514	2231	2101
515	2233	2094
516	2235	2088
517	2236	2081
518	2238	2074
519	2241	2069
520	2243	2062
521	2244	2055
522	2246	2048
523	2247	2042
524	2249	2035
525	2253	2030
526	2255	2024
527	2257	2017
528	2259	2011
529	2261	2005
530	2263	1998
531	2265	1992
532	2269	1988
533	2271	1982
534	2274	1976
535	2276	1970
536	2278	1964
537	2279	1957
538	2281	1951
539	2283	1945
540	2286	1939
541	2287	1933
542	2289	1926
543	2290	1920
544	2292	1913
545	2293	1907
546	2295	1900
547	2296	1894
548	2300	1889
549	2301	1883
550	2303	1876
551	2304	1870
552	2305	1863
553	2307	1857
554	2309	1851
555	2310	1845
556	2312	1838
557	2315	1834
558	2317	1828
559	2319	1822
560	2321	1816
561	2323	1810
562	2325	1804
563	2326	1798
564	2329	1793
565	2331	1787
566	2332	1781
567	2334	1775
568	2336	1769
569	2337	1763
570	2339	1757
571	2340	1751
572	2342	1745
573	2346	1741
574	2347	1735
575	2349	1729
576	2350	1723
577	2352	1717
578	2353	1711
579	2355	1705
580	2356	1699
581	2358	1693
582	2361	1689
583	2363	1683
584	2364	1677
585	2365	1671
586	2367	1665
587	2368	1659
588	2370	1653
589	2371	1648
590	2373	1642
591	2375	1637
592	2376	1631
593	2378	1625
594	2380	1620
595	2382	1614
596	2383	1609
597	2385	1603
598	2386	1597
599	2387	1591
600	2390	1587
601	2392	1581
602	2393	1576
603	2395	1570
604	2396	1564
605	2398	1559
606	2400	1553
607	2401	1548
608	2402	1542
609	2405	1537
610	2407	1532
611	2409	1527
612	2410	1521
613	2412	1516
614	2413	1510
615	2414	1505
616	2416	1499
617	2417	1494
618	2418	1488
619	2422	1484
620	2424	1479
621	2426	1474
622	2428	1469
623	2430	1464
624	2432	1459
625	2433	1454
626	2438	1450
627	2439	1445
628	2441	1439
629	2442	1434
630	2444	1429
631	2445	1424
632	2447	1418
633	2449	1413
634	2453	1410
635	2454	1405
636	2456	1400
637	2458	1395
638	2460	1390
639	2462	1384
640	2468	1382
641	2471	1377
642	2473	1373
643	2474	1368
644	2476	1362
645	2477	1357
646	2479	1352
647	2480	1347
648	2483	1343
649	2485	1338
650	2486	1333
651	2488	1328
652	2489	1323
653	2491	1318
654	2492	1313
655	2494	1308
656	2496	1303
657	2500	1299
658	2502	1294
659	2503	1289
660	2505	1284
661	2507	1280
662	2509	1275
663	2510	1270
664	2512	1265
665	2515	1261
666	2517	1256
667	2519	1252
668	2521	1247
669	2523	1242
670	2525	1238
671	2526	1233
672	2530	1229
673	2532	1224
674	2533	1220
675	2535	1215
676	2536	1210
677	2538	1205
678	2539	1200
679	2541	1195
680	2542	1191
681	2544	1186
682	2546	1181
683	2547	1177
684	2549	1172
685	2551	1167
686	2552	1163
687	2554	1158
688	2555	1153
689	2559	1149
690	2560	1144
691	2561	1140
692	2563	1135
693	2564	1130
694	2566	1126
695	2567	1121
696	2569	1116
697	2570	1112
698	2571	1107
699	2575	1103
700	2576	1098
701	2577	1094
702	2579	1089
703	2581	1085
704	2583	1080
705	2584	1076
706	2587	1072
707	2590	1068
708	2598	1066
709	2599	1061
710	2601	1057
711	2602	1052
712	2606	1049
713	2607	1044
714	2609	1040
715	2610	1035
716	2612	1031
717	2613	1026
718	2615	1022
719	2616	1017
720	2617	1013
721	2621	1009
722	2622	1004
723	2624	1000
724	2626	996
725	2627	991
726	2629	987
727	2630	983
728	2632	978
729	2633	974
730	2637	970
731	2639	966
732	2640	961
733	2642	957
734	2644	953
735	2645	948
736	2646	944
737	2648	940
738	2652	936
739	2653	932
740	2654	927
741	2656	923
742	2657	919
743	2659	914
744	2660	910
745	2662	906
746	2663	902
747	2667	898
748	2668	894
749	2670	890
750	2672	886
751	2674	882
752	2676	877
753	2677	873
754	2679	869
755	2682	865
756	2685	862
757	2687	858
758	2690	854
759	2692	850
760	2694	846
761	2700	843
762	2702	839
763	2705	835
764	2707	831
765	2710	827
766	2714	824
767	2721	822
768	2724	818
769	2726	814
770	2733	811
771	2735	807
772	2737	803
773	2741	800
774	2743	796
775	2748	793
776	2750	789
777	2752	785
778	2755	781
779	2757	777
780	2762	774
781	2764	770
782	2766	766
783	2768	762
784	2770	758
785	2775	755
786	2778	752
787	2780	748
788	2782	744
789	2784	740
790	2786	736
791	2798	734
792	2800	730
793	2802	727
794	2806	723
795	2813	720
796	2815	717
797	2817	713
798	2822	709
799	2826	706
800	2829	703
801	2832	699
802	2841	697
803	2848	694
804	2851	690
805	2857	687
806	2860	684
807	2862	680
808	2870	677
809	2872	673
810	2874	669
811	2875	665
812	2884	663
813	2886	659
814	2887	655
815	2889	651
816	2895	648
817	2898	644
818	2899	640
819	2901	636
820	2906	633
821	2911	630
822	2913	626
823	2915	622
824	2917	618
825	2919	614
826	2922	611
827	2925	607
828	2927	603
829	2932	600
830	2935	596
831	2942	594
832	2944	590
833	2947	586
834	2950	583
835	2955	579
836	2958	576
837	2961	572
838	2971	570
839	2974	566
840	2977	562
841	2979	559
842	2981	555
843	2983	551
844	2987	548
845	2990	544
846	2993	540
847	2995	536
848	3002	534
849	3004	530
850	3006	526
851	3008	522
852	3010	518
853	3011	514
854	3017	511
855	3019	508
856	3021	504
857	3023	500
858	3025	496
859	3026	492
860	3027	488
861	3034	485
862	3036	481
863	3038	478
864	3039	474
865	3041	470
866	3043	466
867	3051	464
868	3052	460
869	3054	456
870	3055	452
871	3056	448
872	3058	444
873	3060	441
874	3064	437
875	3066	434
876	3068	430
877	3069	426
878	3071	422
879	3072	419
880	3074	415
881	3077	411
882	3079	408
883	3081	404
884	3082	400
885	3083	396
886	3085	393
887	3086	389
888	3087	385
889	3089	381
890	3094	378
891	3096	374
892	3098	371
893	3100	367
894	3101	363
895	3103	360
896	3104	356
897	3109	353
898	3111	349
899	3113	345
900	3115	342
901	3118	338
902	3119	335
903	3121	331
904	3124	328
905	3126	324
906	3127	320
907	3129	317
908	3131	313
909	3132	309
910	3134	306
911	3135	302
912	3139	299
913	3141	295
914	3142	291
915	3144	288
916	3145	284
917	3146	281
918	3148	277
919	3149	273
920	3151	270
921	3154	266
922	3155	263
923	3157	259
924	3158	256
925	3160	252
926	3161	248
927	3162	245
928	3164	241
929	3165	238
930	3167	234
931	3168	231
932	3170	227
933	3171	224
934	3173	220
935	3174	217
936	3175	213
937	3177	210
938	3179	206
939	3180	203
940	3183	199
941	3185	196
942	3186	192
943	3188	189
944	3189	185
945	3191	182
946	3192	178
947	3194	175
948	3196	171
949	3199	168
950	3200	164
951	3201	161
952	3203	157
953	3204	154
954	3206	151
955	3208	147
956	3209	144
957	3211	140
958	3213	137
959	3215	133
960	3217	130
961	3218	127
962	3220	123
963	3221	120
964	3223	116
965	3225	113
966	3226	110
967	3229	106
968	3231	103
969	3232	99
970	3234	96
971	3236	93
972	3237	89
973	3239	86
974	3240	83
975	3241	79
976	3245	76
977	3246	73
978	3248	69
979	3249	66
980	3251	62
981	3252	59
982	3253	56
983	3255	52
984	3256	49
985	3259	46
986	3260	42
987	3262	39
988	3263	36
989	3265	32
990	3266	29
991	3268	26
992	3269	23
993	3271	19
994	3272	16
995	3276	13
996	3277	9
997	3279	6
998	3280	3
999	3281	0
